Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
06/05/2026,HFEQ,NQM6 Index,NQM6 INDEX,NASDAQ 100 E-MINI Jun26,6,30488.25,3658590.0,,16574568.5,695000,69.5
06/05/2026,HFEQ,VTV,922908744,Vanguard Value ETF,13985,214.94,3005935.9,,16574568.5,695000,69.5
06/05/2026,HFEQ,MESM6 Index,MESM6 INDEX,MSCI EmgMkt       Jun26,29,1762.5,2555625.0,,16574568.5,695000,69.5
06/05/2026,HFEQ,VGM6 Index,VGM6 INDEX,EURO STOXX 50     Jun26,33,6094.0,2338912.09,,16574568.5,695000,69.5
06/05/2026,HFEQ,IXAM6 Index,IXAM6 INDEX,XAF Financial     Jun26,14,643.43,2252005.0,,16574568.5,695000,69.5
06/05/2026,HFEQ,XLB,81369Y100,State Street Materials Select Sector SPDR ETF,43306,51.62,2235455.72,,16574568.5,695000,69.5
06/05/2026,HFEQ,MFSM6 Index,MFSM6 INDEX,MSCI EAFE         Jun26,14,3115.0,2180500.0,,16574568.5,695000,69.5
06/05/2026,HFEQ,Cash&Other,Cash&Other,Cash & Other,1666977,1.0,1666976.99,,16574568.5,695000,69.5
06/05/2026,HFEQ,FGXXX,31846V336,First American Government Obligations Fund 12/01/2031,1635344,100.0,1635344.02,,16574568.5,695000,69.5
06/05/2026,HFEQ,VO,922908629,Vanguard Mid-Cap ETF,19587,80.18,1570485.66,,16574568.5,695000,69.5
06/05/2026,HFEQ,ESM6 Index,ESM6 INDEX,S&P500 EMINI FUT  Jun26,4,7601.0,1520200.0,,16574568.5,695000,69.5
06/05/2026,HFEQ,VFMO,921935508,Vanguard US Momentum Factor ETF,6075,238.24,1447308.0,,16574568.5,695000,69.5
06/05/2026,HFEQ,XLI,81369Y704,State Street Industrial Select Sector SPDR ETF,7090,176.16,1248974.4,,16574568.5,695000,69.5
06/05/2026,HFEQ,UXM6 INDEX,UXM6 INDEX,CBOE VIX FUTURE   Jun26,69,16.997,1172793.0,,16574568.5,695000,69.5
06/05/2026,HFEQ,XBI,78464A870,State Street SPDR S&P Biotech ETF,8519,133.42,1136604.98,,16574568.5,695000,69.5
06/05/2026,HFEQ,RTYM6 Index,RTYM6 INDEX,E-Mini Russ 2000  Jun26,7,2939.3,1028755.0,,16574568.5,695000,69.5
06/05/2026,HFEQ,NXM6 Index,NXM6 INDEX,NIKKEI 225  (CME) Jun26,3,67770.0,1016550.0,,16574568.5,695000,69.5
06/05/2026,HFEQ,XRT,78464A714,State Street SPDR S&P Retail ETF,10244,83.53,855681.32,,16574568.5,695000,69.5
06/05/2026,HFEQ,XLE,81369Y506,State Street Energy Select Sector SPDR ETF,11465,58.75,673568.75,,16574568.5,695000,69.5
06/05/2026,HFEQ,XLU,81369Y886,State Street Utilities Select Sector SPDR ETF,13751,43.94,604218.94,,16574568.5,695000,69.5
06/05/2026,HFEQ,XLY,81369Y407,State Street Consumer Discretionary Select Sector SPDR ETF,4206,117.26,493195.56,,16574568.5,695000,69.5
06/05/2026,HFEQ,XARM6 Index,XARM6 INDEX,Emini S&P ReEstateJun26,-14,217.3,-760550.0,,16574568.5,695000,69.5
