Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
09/01/2026,HFND,FGXXX,31846V336,First American Government Obligations Fund 12/01/2031,15149461,100.0,15149461.12,,38540150.0,1580000,158.0
09/01/2026,HFND,IBYZ6 Index,IBYZ6 INDEX,iBoxx iSh $HY Fut Dec26,62,185.765,11517430.0,,38540150.0,1580000,158.0
09/01/2026,HFND,MESU6 Index,MESU6 INDEX,MSCI EmgMkt       Sep26,55,1711.1,4705525.0,,38540150.0,1580000,158.0
09/01/2026,HFND,VTV,922908744,Vanguard Morningstar Value ETF,11834,224.85,2660874.9,,38540150.0,1580000,158.0
09/01/2026,HFND,Cash&Other,Cash&Other,Cash & Other,2415475,1.0,2415474.86,,38540150.0,1580000,158.0
09/01/2026,HFND,EMHY,464286285,iShares J.P. Morgan EM High Yield Bond ETF,56862,39.996837,2274300.15,,38540150.0,1580000,158.0
09/01/2026,HFND,UXU6 Index,UXU6 INDEX,CBOE VIX FUTURE   Sep26,120,16.5603,1987236.0,,38540150.0,1580000,158.0
09/01/2026,HFND,ESU6 INDEX,ESU6 INDEX,S&P500 EMINI FUT  Sep26,5,7699.0,1924750.0,,38540150.0,1580000,158.0
09/01/2026,HFND,AGZ,464288166,iShares Agency Bond ETF,17207,108.022789,1858748.13,,38540150.0,1580000,158.0
09/01/2026,HFND,VUG,922908736,Vanguard Morningstar Growth ETF,19465,88.24,1717591.6,,38540150.0,1580000,158.0
09/01/2026,HFND,VO,922908629,Vanguard Morningstar Mid-Cap ETF,20306,82.06,1666310.36,,38540150.0,1580000,158.0
09/01/2026,HFND,VGU6 Index,VGU6 INDEX,EURO STOXX 50     Sep26,22,6437.0,1644991.17,,38540150.0,1580000,158.0
09/01/2026,HFND,XLI,81369Y704,State Street Industrial Select Sector SPDR ETF,9281,175.13,1625381.53,,38540150.0,1580000,158.0
09/01/2026,HFND,MFSU6 Index,MFSU6 INDEX,MSCI EAFE         Sep26,10,3228.8,1614400.0,,38540150.0,1580000,158.0
09/01/2026,HFND,ICVT,46435G102,iShares Convertible Bond ETF,12666,113.84,1441897.44,,38540150.0,1580000,158.0
09/01/2026,HFND,XLB,81369Y100,State Street Materials Select Sector SPDR ETF,26950,52.69,1419995.5,,38540150.0,1580000,158.0
09/01/2026,HFND,RTYU6 Index,RTYU6 INDEX,E-Mini Russ 2000  Sep26,8,2958.7,1183480.0,,38540150.0,1580000,158.0
09/01/2026,HFND,LQD,464287242,iShares iBoxx USD Investment Grade Corporate Bond ETF,10984,105.752427,1161584.66,,38540150.0,1580000,158.0
09/01/2026,HFND,DNU6 Index,DNU6 INDEX,BCOM Comdty Ind   Sep26,78,141.3656,1102651.68,,38540150.0,1580000,158.0
09/01/2026,HFND,XLK,81369Y803,State Street Technology Select Sector SPDR ETF,4823,186.5,899489.5,,38540150.0,1580000,158.0
09/01/2026,HFND,BKLN,46138G508,Invesco Senior Loan ETF,32985,20.57,678501.45,,38540150.0,1580000,158.0
09/01/2026,HFND,XLY,81369Y407,State Street Consumer Discretionary Select Sector SPDR ETF,5817,116.59,678204.03,,38540150.0,1580000,158.0
09/01/2026,HFND,NXU6 Index,NXU6 INDEX,NIKKEI 225  (CME) Sep26,2,65910.0,659100.0,,38540150.0,1580000,158.0
09/01/2026,HFND,ADU6 Curncy,ADU6 CURNCY,AUDUSD Crncy Fut  Sep26,9,71.63,644670.0,,38540150.0,1580000,158.0
09/01/2026,HFND,XLF,81369Y605,State Street Financial Select Sector SPDR ETF,10557,57.71,609244.47,,38540150.0,1580000,158.0
09/01/2026,HFND,VFMO,921935508,Vanguard US Momentum Factor ETF,2370,226.97,537918.9,,38540150.0,1580000,158.0
09/01/2026,HFND,BPU6 Curncy,BPU6 CURNCY,BP CURRENCY FUT   Sep26,6,135.49,508087.5,,38540150.0,1580000,158.0
09/01/2026,HFND,XRT,78464A714,State Street SPDR S&P Retail ETF,5186,86.1,446514.6,,38540150.0,1580000,158.0
09/01/2026,HFND,XLU,81369Y886,State Street Utilities Select Sector SPDR ETF,8928,42.23,377029.44,,38540150.0,1580000,158.0
09/01/2026,HFND,XBI,78464A870,State Street SPDR S&P Biotech ETF,2196,162.5,356850.0,,38540150.0,1580000,158.0
09/01/2026,HFND,VWOB,921946885,Vanguard Emerging Markets Government Bond ETF,3770,65.6193,247384.76,,38540150.0,1580000,158.0
09/01/2026,HFND,XLE,81369Y506,State Street Energy Select Sector SPDR ETF,3311,63.96,211771.56,,38540150.0,1580000,158.0
